"from","to"
"cel00053","CELE_ZC455.4"
"cel00061","CELE_C46F4.2"
"cel00061","CELE_C50D2.9"
"cel00061","CELE_F09E10.3"
"cel00061","CELE_F10G8.9"
"cel00061","CELE_F28F8.2"
"cel00061","CELE_F32H2.5"
"cel00061","CELE_F37C12.7"
"cel00061","CELE_F47G6.2"
"cel00061","CELE_R07C3.4"
"cel00061","CELE_R09E10.3"
"cel00061","CELE_T08B1.6"
"cel00061","CELE_W09B6.1"
"cel00061","CELE_W09H1.5"
"cel00061","CELE_Y39A1A.11"
"cel00061","CELE_Y48A6B.9"
"cel00061","CELE_Y65B4BL.5"
"cel00061","CELE_Y76A2B.3"
"cel00062","CELE_B0272.3"
"cel00062","CELE_B0303.3"
"cel00062","CELE_C06B3.4"
"cel00062","CELE_C06B3.5"
"cel00062","CELE_C15F1.6"
"cel00062","CELE_C29F3.1"
"cel00062","CELE_C40H1.4"
"cel00062","CELE_C56G2.6"
"cel00062","CELE_D2024.3"
"cel00062","CELE_F01G10.2"
"cel00062","CELE_F01G10.3"
"cel00062","CELE_F11A5.12"
"cel00062","CELE_F11E6.5"
"cel00062","CELE_F25G6.5"
"cel00062","CELE_F41H10.7"
"cel00062","CELE_F41H10.8"
"cel00062","CELE_F44C4.5"
"cel00062","CELE_F53A2.7"
"cel00062","CELE_F54C8.1"
"cel00062","CELE_F56H11.4"
"cel00062","CELE_R09B5.6"
"cel00062","CELE_T05G5.6"
"cel00062","CELE_T08B2.7"
"cel00062","CELE_T15B7.2"
"cel00062","CELE_W09H1.5"
"cel00062","CELE_Y105E8A.4"
"cel00062","CELE_Y48A6B.9"
"cel00062","CELE_Y53F4B.2"
"cel00071","CELE_B0272.3"
"cel00071","CELE_B0303.3"
"cel00071","CELE_C29F3.1"
"cel00071","CELE_C46F4.2"
"cel00071","CELE_C48B4.1"
"cel00071","CELE_C55B7.4"
"cel00071","CELE_D2063.1"
"cel00071","CELE_E04F6.5"
"cel00071","CELE_F01F1.6"
"cel00071","CELE_F01G10.2"
"cel00071","CELE_F01G10.3"
"cel00071","CELE_F08A8.1"
"cel00071","CELE_F08A8.2"
"cel00071","CELE_F08A8.3"
"cel00071","CELE_F08A8.4"
"cel00071","CELE_F28F8.2"
"cel00071","CELE_F37C12.7"
"cel00071","CELE_F42G9.5"
"cel00071","CELE_F47G6.2"
"cel00071","CELE_F53A2.7"
"cel00071","CELE_F54C8.1"
"cel00071","CELE_F54D5.7"
"cel00071","CELE_F54D8.3"
"cel00071","CELE_F58F9.7"
"cel00071","CELE_F59F4.1"
"cel00071","CELE_H24K24.3"
"cel00071","CELE_K04F1.15"
"cel00071","CELE_K05F1.3"
"cel00071","CELE_K06A5.6"
"cel00071","CELE_K12G11.3"
"cel00071","CELE_K12G11.4"
"cel00071","CELE_R06F6.9"
"cel00071","CELE_R07C3.4"
"cel00071","CELE_R07H5.2"
"cel00071","CELE_R09B5.6"
"cel00071","CELE_R09E10.3"
"cel00071","CELE_T02G5.7"
"cel00071","CELE_T02G5.8"
"cel00071","CELE_T05G5.6"
"cel00071","CELE_T05H4.13"
"cel00071","CELE_T08B1.3"
"cel00071","CELE_T08B1.6"
"cel00071","CELE_T08B2.7"
"cel00071","CELE_T08G2.3"
"cel00071","CELE_T10E9.9"
"cel00071","CELE_T25G12.5"
"cel00071","CELE_W03F9.4"
"cel00071","CELE_Y105E8A.4"
"cel00071","CELE_Y46G5A.17"
"cel00071","CELE_Y65B4BL.5"
"cel00071","CELE_Y69F12A.2"
"cel00071","CELE_Y76A2B.3"
"cel00100","CELE_B0395.2"
"cel00100","CELE_F52H2.6"
"cel00100","CELE_F54F3.3"
"cel00100","CELE_Y7A5A.1"
"cel00100","CELE_ZK6.7"
"cel00130","CELE_C31H2.4"
"cel00130","CELE_F42D1.2"
"cel00130","CELE_F57B9.4"
"cel00130","CELE_K07B1.2"
"cel00130","CELE_T03F1.2"
"cel00130","CELE_T21C12.2"
"cel00130","CELE_Y57G11C.11"
"cel00130","CELE_ZC395.2"
"cel00130","CELE_ZK1127.2"
"cel00130","CELE_ZK652.9"
"cel00190","CELE_C03G5.1"
"cel00190","CELE_C06H2.1"
"cel00190","CELE_C09H10.3"
"cel00190","CELE_C13C4.4"
"cel00190","CELE_C14B9.10"
"cel00190","CELE_C16A3.5"
"cel00190","CELE_C17H12.14"
"cel00190","CELE_C18E9.4"
"cel00190","CELE_C25H3.9"
"cel00190","CELE_C26H9A.1"
"cel00190","CELE_C30F8.2"
"cel00190","CELE_C33A12.1"
"cel00190","CELE_C34B2.7"
"cel00190","CELE_C34B2.8"
"cel00190","CELE_C34E10.6"
"cel00190","CELE_C47E12.4"
"cel00190","CELE_C53B7.4"
"cel00190","CELE_C54G4.8"
"cel00190","CELE_D2030.4"
"cel00190","CELE_E04A4.7"
"cel00190","CELE_F02E8.1"
"cel00190","CELE_F20B6.2"
"cel00190","CELE_F22D6.4"
"cel00190","CELE_F26E4.6"
"cel00190","CELE_F26E4.9"
"cel00190","CELE_F27C1.7"
"cel00190","CELE_F29C4.2"
"cel00190","CELE_F31D4.9"
"cel00190","CELE_F32D1.2"
"cel00190","CELE_F33A8.5"
"cel00190","CELE_F35G12.10"
"cel00190","CELE_F35H10.4"
"cel00190","CELE_F37C12.3"
"cel00190","CELE_F40G9.2"
"cel00190","CELE_F42A8.2"
"cel00190","CELE_F42G8.10"
"cel00190","CELE_F42G8.12"
"cel00190","CELE_F44G4.2"
"cel00190","CELE_F45H10.2"
"cel00190","CELE_F45H10.3"
"cel00190","CELE_F46F11.5"
"cel00190","CELE_F49C12.13"
"cel00190","CELE_F52E1.10"
"cel00190","CELE_F53F4.10"
"cel00190","CELE_F54D8.2"
"cel00190","CELE_F55H2.2"
"cel00190","CELE_F57B10.14"
"cel00190","CELE_F58F12.1"
"cel00190","CELE_F59C6.5"
"cel00190","CELE_H28O16.1"
"cel00190","CELE_JC8.5"
"cel00190","CELE_K04G7.4"
"cel00190","CELE_K07A12.3"
"cel00190","CELE_K09A9.5"
"cel00190","CELE_R04F11.2"
"cel00190","CELE_R05D3.6"
"cel00190","CELE_R07E4.3"
"cel00190","CELE_R10E11.2"
"cel00190","CELE_R10E11.8"
"cel00190","CELE_R53.4"
"cel00190","CELE_T01H3.1"
"cel00190","CELE_T02H6.11"
"cel00190","CELE_T06D8.5"
"cel00190","CELE_T07C4.7"
"cel00190","CELE_T10B10.2"
"cel00190","CELE_T10E9.7"
"cel00190","CELE_T14F9.1"
"cel00190","CELE_T20H4.5"
"cel00190","CELE_T24C4.1"
"cel00190","CELE_T26A5.3"
"cel00190","CELE_T27E9.2"
"cel00190","CELE_VW02B12L.1"
"cel00190","CELE_VW06B3R.1"
"cel00190","CELE_W01A8.4"
"cel00190","CELE_W09C5.8"
"cel00190","CELE_W10D5.2"
"cel00190","CELE_Y110A7A.12"
"cel00190","CELE_Y37D8A.14"
"cel00190","CELE_Y38F2AL.3"
"cel00190","CELE_Y38F2AL.4"
"cel00190","CELE_Y45G12B.1"
"cel00190","CELE_Y46G5A.2"
"cel00190","CELE_Y49A3A.2"
"cel00190","CELE_Y51H1A.3"
"cel00190","CELE_Y53G8AL.2"
"cel00190","CELE_Y54E10BL.5"
"cel00190","CELE_Y54F10AM.5"
"cel00190","CELE_Y55H10A.1"
"cel00190","CELE_Y56A3A.19"
"cel00190","CELE_Y57G11C.12"
"cel00190","CELE_Y63D3A.7"
"cel00190","CELE_Y69A2AR.18"
"cel00190","CELE_Y71H2AM.4"
"cel00190","CELE_Y71H2AM.5"
"cel00190","CELE_Y82E9BR.3"
"cel00190","CELE_ZC116.2"
"cel00190","CELE_ZC262.5"
"cel00190","CELE_ZK637.8"
"cel00190","CELE_ZK809.3"
"cel00190","CELE_ZK970.4"
"cel00190","CELE_ZK973.10"
"cel00190","KEF34_p01"
"cel00190","KEF34_p02"
"cel00190","KEF34_p03"
"cel00190","KEF34_p04"
"cel00190","KEF34_p05"
"cel00190","KEF34_p06"
"cel00190","KEF34_p07"
"cel00190","KEF34_p08"
"cel00190","KEF34_p09"
"cel00190","KEF34_p10"
"cel00190","KEF34_p11"
"cel00190","KEF34_p12"
"cel00220","CELE_C06A6.4"
"cel00220","CELE_C09F9.3"
"cel00220","CELE_C10C5.3"
"cel00220","CELE_C10C5.4"
"cel00220","CELE_C10C5.5"
"cel00220","CELE_C14F11.1"
"cel00220","CELE_C28D4.3"
"cel00220","CELE_C32F10.8"
"cel00220","CELE_C44E4.3"
"cel00220","CELE_C45B2.5"
"cel00220","CELE_D2085.1"
"cel00220","CELE_DH11.1"
"cel00220","CELE_F26D10.10"
"cel00220","CELE_F30F8.2"
"cel00220","CELE_F38H4.5"
"cel00220","CELE_K03H1.1"
"cel00220","CELE_T01C8.5"
"cel00220","CELE_T22B7.3"
"cel00220","CELE_Y105C5B.28"
"cel00220","CELE_ZK1307.1"
"cel00220","CELE_ZK829.4"
"cel00230","CELE_AH6.1"
"cel00230","CELE_B0286.3"
"cel00230","CELE_C03C10.3"
"cel00230","CELE_C06B3.8"
"cel00230","CELE_C06G3.5"
"cel00230","CELE_C27H5.1"
"cel00230","CELE_C29E4.8"
"cel00230","CELE_C32E12.2"
"cel00230","CELE_C34F11.3"
"cel00230","CELE_C37H5.6"
"cel00230","CELE_C46E1.2"
"cel00230","CELE_C49H3.1"
"cel00230","CELE_C55F2.1"
"cel00230","CELE_E01F3.1"
"cel00230","CELE_E02H1.6"
"cel00230","CELE_EEED8.8"
"cel00230","CELE_F08B1.2"
"cel00230","CELE_F08C6.6"
"cel00230","CELE_F10F2.2"
"cel00230","CELE_F17C8.1"
"cel00230","CELE_F21H7.9"
"cel00230","CELE_F22E5.3"
"cel00230","CELE_F25H2.5"
"cel00230","CELE_F32D1.5"
"cel00230","CELE_F38B2.4"
"cel00230","CELE_F38B6.4"
"cel00230","CELE_F45F2.9"
"cel00230","CELE_F55B11.1"
"cel00230","CELE_F57F5.2"
"cel00230","CELE_K02D7.1"
"cel00230","CELE_K08H10.4"
"cel00230","CELE_M04G12.3"
"cel00230","CELE_M106.4"
"cel00230","CELE_R05F9.6"
"cel00230","CELE_R05G6.5"
"cel00230","CELE_R06C7.5"
"cel00230","CELE_R07E4.4"
"cel00230","CELE_R07H5.8"
"cel00230","CELE_R08D7.6"
"cel00230","CELE_R09H10.3"
"cel00230","CELE_R134.1"
"cel00230","CELE_R151.2"
"cel00230","CELE_R153.1"
"cel00230","CELE_T01A4.1"
"cel00230","CELE_T03F1.8"
"cel00230","CELE_T04A8.5"
"cel00230","CELE_T04D3.3"
"cel00230","CELE_T04D3.4"
"cel00230","CELE_T07D1.1"
"cel00230","CELE_T14G10.1"
"cel00230","CELE_T19B4.3"
"cel00230","CELE_T22D1.3"
"cel00230","CELE_T23G5.1"
"cel00230","CELE_T26C12.4"
"cel00230","CELE_W03F11.2"
"cel00230","CELE_Y105E8B.5"
"cel00230","CELE_Y37H9A.6"
"cel00230","CELE_Y43F4B.5"
"cel00230","CELE_Y71H10B.1"
"cel00230","CELE_Y95B8A.10"
"cel00230","CELE_ZC239.7"
"cel00230","CELE_ZC395.7"
"cel00230","CELE_ZC412.2"
"cel00230","CELE_ZK563.7"
"cel00230","CELE_ZK673.2"
"cel00230","CELE_ZK697.8"
"cel00230","CELE_ZK896.8"
"cel00230","CELE_ZK909.3"
"cel00230","CELE_ZK970.6"
"cel00232","CELE_F55B11.1"
"cel00240","CELE_B0001.4"
"cel00240","CELE_C03C10.3"
"cel00240","CELE_C25F6.3"
"cel00240","CELE_C29F7.3"
"cel00240","CELE_C47D2.2"
"cel00240","CELE_C47E12.8"
"cel00240","CELE_D2085.1"
"cel00240","CELE_F08C6.6"
"cel00240","CELE_F13H8.7"
"cel00240","CELE_F19B6.1"
"cel00240","CELE_F25B5.3"
"cel00240","CELE_F25H2.5"
"cel00240","CELE_F40F8.1"
"cel00240","CELE_F45F2.9"
"cel00240","CELE_F49E8.4"
"cel00240","CELE_K07A1.2"
"cel00240","CELE_K08H10.4"
"cel00240","CELE_R05G6.5"
"cel00240","CELE_R06C7.3"
"cel00240","CELE_R07E4.4"
"cel00240","CELE_R53.2"
"cel00240","CELE_T07C4.1"
"cel00240","CELE_T23G5.1"
"cel00240","CELE_T24C12.3"
"cel00240","CELE_W02D3.2"
"cel00240","CELE_W06H3.3"
"cel00240","CELE_Y10G11A.1"
"cel00240","CELE_Y37H9A.6"
"cel00240","CELE_Y43C5A.5"
"cel00240","CELE_Y71H10B.1"
"cel00240","CELE_ZK563.7"
"cel00240","CELE_ZK643.2"
"cel00240","CELE_ZK783.2"
"cel00250","CELE_C09F9.3"
"cel00250","CELE_C14F11.1"
"cel00250","CELE_C28D4.3"
"cel00250","CELE_C32F10.8"
"cel00250","CELE_C37H5.6"
"cel00250","CELE_C44E4.3"
"cel00250","CELE_C45B2.5"
"cel00250","CELE_C47A10.5"
"cel00250","CELE_D2085.1"
"cel00250","CELE_DH11.1"
"cel00250","CELE_F07A11.2"
"cel00250","CELE_F18E3.7"
"cel00250","CELE_F20H11.5"
"cel00250","CELE_F22B3.4"
"cel00250","CELE_F25G6.6"
"cel00250","CELE_F26D10.10"
"cel00250","CELE_F30F8.2"
"cel00250","CELE_F45H10.1"
"cel00250","CELE_F56D12.1"
"cel00250","CELE_K03H1.1"
"cel00250","CELE_K04D7.3"
"cel00250","CELE_M02D8.4"
"cel00250","CELE_R06C7.5"
"cel00250","CELE_T01C8.5"
"cel00250","CELE_T04A8.5"
"cel00250","CELE_T09B4.8"
"cel00250","CELE_T14D7.1"
"cel00250","CELE_W07E11.1"
"cel00250","CELE_Y105C5B.28"
"cel00250","CELE_Y37D8A.23"
"cel00250","CELE_ZK829.4"
"cel00260","CELE_C05D11.11"
"cel00260","CELE_C13B9.2"
"cel00260","CELE_C15B12.1"
"cel00260","CELE_C31C9.2"
"cel00260","CELE_C34C6.4"
"cel00260","CELE_D1025.2"
"cel00260","CELE_F01F1.6"
"cel00260","CELE_F08F3.4"
"cel00260","CELE_F22B8.6"
"cel00260","CELE_F25B4.1"
"cel00260","CELE_F26H9.5"
"cel00260","CELE_F52A8.5"
"cel00260","CELE_F54A3.4"
"cel00260","CELE_F57B10.3"
"cel00260","CELE_K01C8.1"
"cel00260","CELE_LLC1.3"
"cel00260","CELE_R102.4"
"cel00260","CELE_R12C12.1"
"cel00260","CELE_T01H8.2"
"cel00260","CELE_T09B4.8"
"cel00260","CELE_T14D7.1"
"cel00260","CELE_T25B9.1"
"cel00260","CELE_Y37E3.17"
"cel00260","CELE_Y51H7C.9"
"cel00260","CELE_Y62E10A.13"
"cel00260","CELE_Y69A2AR.5"
"cel00260","CELE_ZC373.1"
"cel00260","CELE_ZK1127.10"
"cel00270","CELE_B0228.7"
"cel00270","CELE_C01G10.9"
"cel00270","CELE_C06E7.1"
"cel00270","CELE_C06E7.3"
"cel00270","CELE_C14F11.1"
"cel00270","CELE_C17G1.7"
"cel00270","CELE_C31C9.2"
"cel00270","CELE_C44E4.3"
"cel00270","CELE_C49F5.1"
"cel00270","CELE_D2023.5"
"cel00270","CELE_E01A2.1"
"cel00270","CELE_F11G11.9"
"cel00270","CELE_F13D12.2"
"cel00270","CELE_F20H11.3"
"cel00270","CELE_F22B8.6"
"cel00270","CELE_F26H9.5"
"cel00270","CELE_F28H6.3"
"cel00270","CELE_F37B12.2"
"cel00270","CELE_F42D1.2"
"cel00270","CELE_F42F12.4"
"cel00270","CELE_F46E10.10"
"cel00270","CELE_F47G4.7"
"cel00270","CELE_F54A3.4"
"cel00270","CELE_F56F10.3"
"cel00270","CELE_F58H1.3"
"cel00270","CELE_F59A7.9"
"cel00270","CELE_H12D21.4"
"cel00270","CELE_K02A4.1"
"cel00270","CELE_K02F2.2"
"cel00270","CELE_K07E1.1"
"cel00270","CELE_K10H10.2"
"cel00270","CELE_M176.2"
"cel00270","CELE_R03A10.4"
"cel00270","CELE_R03D7.1"
