node_id	node_class	display_label	effect_category	lfc_gxe	padj_gxe	lfc_treat_N2	padj_treat_N2	lfc_geno_unt	padj_geno_unt	lfc_geno_trt	padj_geno_trt	orphan_gxe	degree_GxE_targets
pqm-1	TF	pqm-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	31
ceh-60	TF	ceh-60	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	27
fos-1	TF	fos-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	29
elt-2	TF	elt-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	20
zip-2	TF	zip-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	12
skn-1	TF	skn-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15
cebp-1	TF	cebp-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	10
nhr-28	TF	nhr-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	28
nhr-77	TF	nhr-77	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	25
blmp-1	TF	blmp-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	13
daf-16	TF	daf-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	27
pha-4	TF	pha-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	24
akt-2	TF	akt-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	0
aak-2	TF	aak-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	0
hif-1	TF	hif-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	3
pmk-1	signaling	pmk-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	0
atf-7	signaling	atf-7	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	0
akt-1	signaling	akt-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	0
par-4	signaling	par-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	0
y39g10ar.6	effector	ugt-31	GxE	-2.74056981058773	1.2420550357089099e-45	2.29599461014364	6.85170481387025e-44	3.1574249190597	6.72633748354642e-82	0.278353392160753	0.150185762594079	FALSE	0
c10h11.4	effector	ugt-28	GxE	-1.99430491555611	1.93253243324681e-21	4.13387692723976	6.41011742600947e-123	1.41857091040373	3.2207889876301e-14	-0.409037468063594	0.0303685745051504	FALSE	0
c10h11.3	effector	ugt-25	GxE	-1.11232049447661	6.9287936821279e-5	2.34179834308453	6.70968907604463e-29	1.02901862483639	1.23993503143913e-5	-0.0472816927887426	0.894085579658316	FALSE	0
k02f2.6	effector	ser-3	GxE	-1.40253088843512	0.0308217382942064	1.26245258413856	0.00662404286380986	1.16054540636803	0.0295902673764112	-0.0599044844632003	0.845458576173061	TRUE	0
e03h4.8	effector	e03h4.8	GxE	-1.75811811263669	3.41365176803914e-22	3.11456704789158	3.8958521617417895e-97	1.97267099501983	2.80213271042978e-37	0.132210741427102	0.570866493921099	TRUE	0
