source	target	edge_type	string_combined_score
cebp-1	r11g11.2	regulatory	NA
pqm-1	r11g11.2	regulatory	NA
fos-1	r11g11.2	regulatory	NA
ceh-60	y49c4a.8	regulatory	NA
daf-16	y49c4a.8	regulatory	NA
zip-2	y49c4a.8	regulatory	NA
nhr-28	c07g3.2	regulatory	NA
nhr-77	c07g3.2	regulatory	NA
pqm-1	c07g3.2	regulatory	NA
fos-1	c07g3.2	regulatory	NA
daf-16	c07g3.2	regulatory	NA
elt-2	c07g3.2	regulatory	NA
pha-4	c07g3.2	regulatory	NA
cebp-1	c49g7.5	regulatory	NA
fos-1	c49g7.5	regulatory	NA
zip-2	c49g7.5	regulatory	NA
ceh-60	c49g7.5	regulatory	NA
skn-1	c49g7.5	regulatory	NA
nhr-28	c49g7.5	regulatory	NA
nhr-77	c49g7.5	regulatory	NA
daf-16	f08f3.7	regulatory	NA
zip-2	f08f3.7	regulatory	NA
ceh-60	f44c4.3	regulatory	NA
elt-2	f44c4.3	regulatory	NA
pha-4	f44c4.3	regulatory	NA
skn-1	f44c4.3	regulatory	NA
nhr-28	f44c4.3	regulatory	NA
nhr-77	f44c4.3	regulatory	NA
pqm-1	f44c4.3	regulatory	NA
fos-1	f44c4.3	regulatory	NA
pqm-1	c52e4.1	regulatory	NA
fos-1	c52e4.1	regulatory	NA
daf-16	c52e4.1	regulatory	NA
ceh-60	c52e4.1	regulatory	NA
nhr-77	c52e4.1	regulatory	NA
ceh-60	zc455.5	regulatory	NA
elt-2	zc455.5	regulatory	NA
pha-4	zc455.5	regulatory	NA
nhr-28	zc455.5	regulatory	NA
nhr-77	zc455.5	regulatory	NA
pqm-1	zc455.5	regulatory	NA
fos-1	zc455.5	regulatory	NA
daf-16	zc455.5	regulatory	NA
elt-2	zc443.5	regulatory	NA
skn-1	zc443.5	regulatory	NA
nhr-28	zc443.5	regulatory	NA
nhr-77	zc443.5	regulatory	NA
pqm-1	zc443.5	regulatory	NA
fos-1	zc443.5	regulatory	NA
ceh-60	zc443.6	regulatory	NA
elt-2	zc443.6	regulatory	NA
pqm-1	zc443.6	regulatory	NA
fos-1	zc443.6	regulatory	NA
nhr-77	r10d12.17	regulatory	NA
daf-16	r10d12.17	regulatory	NA
blmp-1	r10d12.17	regulatory	NA
elt-2	t08g5.10	regulatory	NA
pqm-1	t08g5.10	regulatory	NA
ceh-60	t08g5.10	regulatory	NA
nhr-28	t08g5.10	regulatory	NA
pha-4	t06e6.5	regulatory	NA
pqm-1	t06e6.5	regulatory	NA
fos-1	t06e6.5	regulatory	NA
daf-16	t06e6.5	regulatory	NA
skn-1	c31a11.7	regulatory	NA
nhr-28	c31a11.7	regulatory	NA
cebp-1	c31a11.7	regulatory	NA
pqm-1	c31a11.7	regulatory	NA
fos-1	c31a11.7	regulatory	NA
daf-16	c31a11.7	regulatory	NA
ceh-60	c31a11.7	regulatory	NA
pha-4	c31a11.7	regulatory	NA
pqm-1	y70c5c.6	regulatory	NA
fos-1	y70c5c.6	regulatory	NA
pha-4	y70c5c.6	regulatory	NA
skn-1	y70c5c.6	regulatory	NA
nhr-77	y70c5c.6	regulatory	NA
cebp-1	y70c5c.6	regulatory	NA
pqm-1	c05e11.5	regulatory	NA
fos-1	c05e11.5	regulatory	NA
daf-16	c05e11.5	regulatory	NA
ceh-60	c05e11.5	regulatory	NA
pha-4	c05e11.5	regulatory	NA
nhr-28	c05e11.5	regulatory	NA
nhr-77	c05e11.5	regulatory	NA
blmp-1	f16f9.2	regulatory	NA
nhr-28	f16f9.2	regulatory	NA
nhr-28	zc373.6	regulatory	NA
nhr-77	zc373.6	regulatory	NA
pqm-1	zc373.6	regulatory	NA
fos-1	zc373.6	regulatory	NA
daf-16	zc373.6	regulatory	NA
ceh-60	zc373.6	regulatory	NA
elt-2	zc373.6	regulatory	NA
pha-4	zc373.6	regulatory	NA
nhr-77	t21e8.2	regulatory	NA
ceh-60	t21e8.1	regulatory	NA
pha-4	t21e8.1	regulatory	NA
skn-1	t21e8.1	regulatory	NA
nhr-28	t21e8.1	regulatory	NA
nhr-77	t21e8.1	regulatory	NA
cebp-1	t21e8.1	regulatory	NA
pqm-1	t21e8.1	regulatory	NA
zip-2	t21e8.1	regulatory	NA
nhr-28	f22e10.1	regulatory	NA
nhr-77	f22e10.1	regulatory	NA
pqm-1	f22e10.1	regulatory	NA
fos-1	f22e10.1	regulatory	NA
elt-2	f22e10.1	regulatory	NA
elt-2	blmp-1	regulatory	NA
pha-4	blmp-1	regulatory	NA
nhr-28	blmp-1	regulatory	NA
pqm-1	blmp-1	regulatory	NA
daf-16	blmp-1	regulatory	NA
ceh-60	blmp-1	regulatory	NA
ceh-60	daf-16	regulatory	NA
blmp-1	daf-16	regulatory	NA
pha-4	daf-16	regulatory	NA
skn-1	daf-16	regulatory	NA
nhr-28	daf-16	regulatory	NA
