"UniprotID.TF","Name.TF","total_targets","deg_targets","prop_deg","contrast","index"
"P34522","pros-1",1157,69,0.0596369922212619,"RB2060_TR_vs_N2",4.11495246326707
"Q19691","tbx-2",2080,124,0.0596153846153846,"RB2060_TR_vs_N2",7.39230769230769
"P34707","skn-1",2666,158,0.059264816204051,"RB2060_TR_vs_N2",9.36384096024006
"O17208","gmeb-1",2471,146,0.0590853905301497,"RB2060_TR_vs_N2",8.62646701740186
"O01996","eyg-1",34,2,0.0588235294117647,"RB2060_TR_vs_N2",0.117647058823529
"Q93779","gmeb-2",17,1,0.0588235294117647,"RB2060_TR_vs_N2",0.0588235294117647
"Q19345","nhr-25",2418,142,0.0587262200165426,"RB2060_TR_vs_N2",8.33912324234905
"Q11107","lin-13",2675,157,0.0586915887850467,"RB2060_TR_vs_N2",9.21457943925234
"Q93520","-",2085,122,0.0585131894484412,"RB2060_TR_vs_N2",7.13860911270983
"Q21446","lin-14",2685,157,0.0584729981378026,"RB2060_TR_vs_N2",9.18026070763501
"G5ECN8","ces-1",2367,138,0.0583016476552598,"RB2060_TR_vs_N2",8.04562737642586
"O02274","ztf-11",379,22,0.0580474934036939,"RB2060_TR_vs_N2",1.27704485488127
"P41829","nhr-6",2333,135,0.057865409344192,"RB2060_TR_vs_N2",7.81183026146592
"G4SGI5","oef-1",1141,66,0.0578439964943032,"RB2060_TR_vs_N2",3.81770376862401
"Q27395","lin-15B",3044,176,0.0578186596583443,"RB2060_TR_vs_N2",10.1760840998686
"G5ECT8","ceh-2",139,8,0.0575539568345324,"RB2060_TR_vs_N2",0.460431654676259
"Q09228","egl-27",1566,90,0.0574712643678161,"RB2060_TR_vs_N2",5.17241379310345
"P32085","tbp-1",545,31,0.0568807339449541,"RB2060_TR_vs_N2",1.76330275229358
"O17646","-",2644,149,0.0563540090771558,"RB2060_TR_vs_N2",8.39674735249622
"Q21502","mep-1",3165,178,0.0562401263823065,"RB2060_TR_vs_N2",10.0107424960506
"P34670","snu-23",3541,198,0.0559164077944084,"RB2060_TR_vs_N2",11.0714487432929
"P34684","lin-39",2276,127,0.0557996485061511,"RB2060_TR_vs_N2",7.08655536028119
"O17894","unc-39",54,3,0.0555555555555556,"RB2060_TR_vs_N2",0.166666666666667
"Q11094","hlh-8",126,7,0.0555555555555556,"RB2060_TR_vs_N2",0.388888888888889
"O16748","ceh-82",2875,159,0.055304347826087,"RB2060_TR_vs_N2",8.79339130434783
