"gene_symbol","lfc_treat_N2","padj_treat_N2","lfc_treat_RB","padj_treat_RB","lfc_geno_unt","padj_geno_unt","lfc_geno_trt","padj_geno_trt","lfc_gxe","padj_gxe","effect_class","n_TFs","TF_list","target_common_name"
"C06B3.6",3.98136028025753,3.34792638794319e-61,3.26017753527577,9.96593579024662e-42,0.0405451270144686,0.955923874841888,-0.333761929864375,0.153937723833862,-0.509465783376229,0.151680121959698,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"C06B3.7",5.73143725993156,5.49390403281562e-117,3.46478201061592,3.97945971831757e-45,1.15597036630931,5.361819941792e-05,-0.713480002839339,0.00468049078919629,-2.15677836630914,2.81319215529785e-12,"GxE",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"F13A7.11",4.43089706293435,4.34412605169738e-48,2.70739632635799,3.46372150515292e-19,0.775845706082748,0.0334124480269091,-0.314911226859115,0.214443394777632,-1.53510900978206,0.000145087576566655,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"T04G9.5",-1.25494562977254,2.93505887623738e-12,-0.356864734809518,0.0534678065238488,-0.896837067907287,5.29321527678492e-06,-0.0572515421187156,0.85629507807083,0.77789576992726,0.00214123917890559,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62","trap-2"
"D1005.3",3.23761061272031,1.76939227843133e-06,1.48408274316753,0.00666235333300762,0.0196103142013772,0.966840157210126,-0.165736834940097,0.451907061536619,-0.179606250610317,0.362246361237259,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2","cebp-1"
"C28G1.2",1.49639601861386,0.00856881807267647,0.316132226910521,0.401106095526142,0.0335969059754735,0.945090713072542,-0.141641978250404,0.556497444830843,-0.183240659403048,0.40151809245955,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2",NA
"K09A9.1",2.87037805315969,9.77265524337007e-15,1.46285456056005,4.03812810140388e-05,0.104802760468396,0.808068535433077,-0.382049357060145,0.145484889434566,-0.95517387914598,0.0642795642910736,"Treatment",14,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62;zip-2","nipi-3"
"F59F4.2",-0.537886209828806,0.0910151040856897,0.231631417930204,0.394700724230939,-1.06052516117943,0.00094752254365662,-0.0834308004405865,0.781910887541298,0.755083295087332,0.0606935683166304,"Genotype",14,"blmp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;sta-1;unc-62;zip-2","serp-1.1"
"Y34D9A.6",3.01930187451579,3.11967919312034e-20,3.50702738768452,2.39476965906686e-27,-0.208946575524182,0.558147676083118,0.0136304742024766,0.973734288252729,0.224510914576485,0.454694231923648,"Treatment",13,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62","glrx-10"
"F48A11.5",1.50518563895572,1.14663298480331e-05,0.955883178362138,0.00268803606934513,-0.0402789421328657,0.951906311107823,-0.184815448277021,0.479730792576279,-0.166419729940827,0.567519379817697,"Treatment",13,"blmp-1;cebp-1;ceh-60;daf-16;elt-2;fos-1;nhr-28;nhr-77;pha-4;pqm-1;skn-1;sma-9;unc-62","ubxn-3"
