"gene_symbol","lfc_treat_N2","padj_treat_N2","lfc_treat_RB","padj_treat_RB","lfc_geno_unt","padj_geno_unt","lfc_geno_trt","padj_geno_trt","lfc_gxe","padj_gxe","effect_class"
"Y74C9A.3",-0.152125651213423,0.677513573767504,-0.278088300419057,0.239856310955871,0.153425021701407,0.699672386195123,0.019549593314065,0.960565875551986,-0.121309771287831,0.686482849420601,"NS"
"Y74C9A.2",-0.444074298465223,0.043786539380959,-0.297871079518774,0.134483875713555,0.0296738409385042,0.965832956731271,0.0717608554945612,0.810151138344037,0.0577682409255147,0.855026016428972,"NS"
"Y74C9A.4",-0.339123326911894,0.195167113046695,-0.317410467175043,0.139716587819426,0.0518986329888669,0.936989667065184,0.0198616523812869,0.958985008783187,-0.0262684227281568,0.939218220679656,"NS"
"Y74C9A.5",-0.389108058466701,0.498884829421138,-0.928072846440281,0.0283737324705041,0.106625777642327,0.724186177823054,-0.0503161814897493,0.867802247043046,-0.17524271437522,0.446129197207936,"NS"
"Y74C9A.1",0.197015149693761,0.766378603910284,-0.196409677993405,0.63946044262792,-0.00121155291197835,0.985657506042832,-0.0947203691605592,0.53692377958124,-0.0583741708266015,0.567123496538551,"NS"
"Y48G1C.12",-0.62977225535776,0.0283546747257533,-0.263182682728256,0.302180786944678,-0.122843515364159,0.779131674146472,0.0214919228597574,0.958081997678521,0.15531118096854,0.616063279181359,"NS"
"Y48G1C.2",0.116958616034613,0.807670466265799,-0.172356679431788,0.55439611902821,0.0862804888329274,0.864470484698799,-0.0764733856604875,0.801985395589225,-0.196010436883401,0.521302821401114,"NS"
"Y48G1C.10",-0.145788678375424,0.815820930937493,-0.319223491906913,0.376838054641125,-0.052085022288756,0.908635987247747,-0.147763065118379,0.55397752646007,-0.0909221643856359,0.704246445021565,"NS"
"Y48G1C.6",-0.0178004501111883,0.976398493364109,-0.188779564793705,0.552648832551446,0.0926384660618076,0.843665958319025,-0.0163700084765016,0.966852090126554,-0.108823795683646,0.701985852229786,"NS"
"Y48G1C.9",-0.066309763108243,0.910242292872631,0.14810934476443,0.663019800303921,-0.0428042900233695,0.942574654585089,0.0590588753107834,0.856115497442642,0.117062388872119,0.673386292558288,"NS"
"Y48G1C.1",-0.470178486447762,0.124721527914637,-0.243375417500813,0.34425313161004,-0.011638256711729,0.9908702341438,0.0535150904842325,0.877783767938663,0.075138393227186,0.808854675281828,"NS"
"Y48G1C.13",-0.308573475876395,0.51969334969529,0.104027539260306,0.815800597363067,-0.0294339433968968,0.857113127893533,0.0447457835969692,0.792139354239233,0.0585357742049748,0.509172472433403,"NS"
"Y48G1C.8",0.0164325047390335,0.97008072027157,0.303602512229595,0.180397417862804,-0.623887136343647,0.0214888959219861,-0.170633321524888,0.500711871023786,0.248890920287621,0.408405079207472,"NS"
"F53G12.1",0.232903810291297,0.282866109798413,0.460687586714992,0.00516378646881061,-0.443854460319694,0.028133235525456,-0.14294879978186,0.544154202970107,0.212333564430187,0.408512410949069,"NS"
