"Gene","log2FC","padj","contrast","pathway_id","pathway_name"
"ZK1320.1",-1.92316847069816,7.19560658209596e-13,"N2: Treated vs Untreated","cel04146","Peroxisome"
"Y53C12A.2",-1.39612562901409,0.0016912463018197,"N2: Treated vs Untreated","cel04082","Neuroactive ligand signaling"
"F26C11.1",-2.96851609478671,4.20225907508585e-15,"N2: Treated vs Untreated","cel00740","Riboflavin metabolism"
"F26C11.1",-2.96851609478671,4.20225907508585e-15,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F26C11.1",-2.96851609478671,4.20225907508585e-15,"N2: Treated vs Untreated","cel04142","Lysosome biogenesis"
"C05C10.4",-2.17143390792422,1.06990447915554e-36,"N2: Treated vs Untreated","cel00740","Riboflavin metabolism"
"C05C10.4",-2.17143390792422,1.06990447915554e-36,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C05C10.4",-2.17143390792422,1.06990447915554e-36,"N2: Treated vs Untreated","cel04142","Lysosome biogenesis"
"F52H3.6",2.8000560722696,1.47029205415109e-18,"N2: Treated vs Untreated","cel03015","mRNA surveillance pathway"
"F52H3.6",2.8000560722696,1.47029205415109e-18,"N2: Treated vs Untreated","cel04519","Cadherin signaling"
"T01E8.3",1.35445800008389,0.000742713501293467,"N2: Treated vs Untreated","cel00562","Inositol phosphate metabolism"
"T01E8.3",1.35445800008389,0.000742713501293467,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"T01E8.3",1.35445800008389,0.000742713501293467,"N2: Treated vs Untreated","cel04070","Phosphatidylinositol signaling system"
"T01E8.3",1.35445800008389,0.000742713501293467,"N2: Treated vs Untreated","cel04517","IgSF CAM signaling"
"ZK970.6",3.66453892959828,9.17425687778526e-07,"N2: Treated vs Untreated","cel00230","Purine metabolism"
"ZK970.6",3.66453892959828,9.17425687778526e-07,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"R06F6.9",-1.31231739381757,8.79512473894416e-12,"N2: Treated vs Untreated","cel00071","Fatty acid degradation"
"R06F6.9",-1.31231739381757,8.79512473894416e-12,"N2: Treated vs Untreated","cel04146","Peroxisome"
"R03D7.6",3.5981650478522,1.01989536466057e-39,"N2: Treated vs Untreated","cel00480","Glutathione metabolism"
"R03D7.6",3.5981650478522,1.01989536466057e-39,"N2: Treated vs Untreated","cel00980","Metabolism of xenobiotics by cytochrome P450"
"R03D7.6",3.5981650478522,1.01989536466057e-39,"N2: Treated vs Untreated","cel00982","Drug metabolism - cytochrome P450"
"R03D7.6",3.5981650478522,1.01989536466057e-39,"N2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"R03D7.6",3.5981650478522,1.01989536466057e-39,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"R03D7.6",3.5981650478522,1.01989536466057e-39,"N2: Treated vs Untreated","cel04212","Longevity regulating pathway - worm"
"B0334.3",-1.34004036306119,1.02741982533779e-22,"N2: Treated vs Untreated","cel04146","Peroxisome"
"F07A11.5",-2.32035170441134,2.51847920550826e-23,"N2: Treated vs Untreated","cel00030","Pentose phosphate pathway"
"F07A11.5",-2.32035170441134,2.51847920550826e-23,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C47D12.6",1.64231301435399,3.67828936786062e-26,"N2: Treated vs Untreated","cel00970","Aminoacyl-tRNA biosynthesis"
"F44E5.4",3.06389285045313,2.95129649819305e-06,"N2: Treated vs Untreated","cel03040","Spliceosome"
"F44E5.4",3.06389285045313,2.95129649819305e-06,"N2: Treated vs Untreated","cel04141","Protein processing in endoplasmic reticulum"
"F44E5.4",3.06389285045313,2.95129649819305e-06,"N2: Treated vs Untreated","cel04144","Endocytosis"
"F44E5.4",3.06389285045313,2.95129649819305e-06,"N2: Treated vs Untreated","cel04213","Longevity regulating pathway - multiple species"
"F44E5.5",2.99024142164933,8.95227113881142e-10,"N2: Treated vs Untreated","cel03040","Spliceosome"
"F44E5.5",2.99024142164933,8.95227113881142e-10,"N2: Treated vs Untreated","cel04141","Protein processing in endoplasmic reticulum"
"F44E5.5",2.99024142164933,8.95227113881142e-10,"N2: Treated vs Untreated","cel04144","Endocytosis"
"F44E5.5",2.99024142164933,8.95227113881142e-10,"N2: Treated vs Untreated","cel04213","Longevity regulating pathway - multiple species"
"Y57A10C.6",-1.52797744111897,4.71576930225616e-09,"N2: Treated vs Untreated","cel01040","Biosynthesis of unsaturated fatty acids"
"Y57A10C.6",-1.52797744111897,4.71576930225616e-09,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y57A10C.6",-1.52797744111897,4.71576930225616e-09,"N2: Treated vs Untreated","cel01212","Fatty acid metabolism"
"Y57A10C.6",-1.52797744111897,4.71576930225616e-09,"N2: Treated vs Untreated","cel04146","Peroxisome"
"C31C9.2",2.7554155536192,7.45910709371954e-62,"N2: Treated vs Untreated","cel00260","Glycine, serine and threonine metabolism"
"C31C9.2",2.7554155536192,7.45910709371954e-62,"N2: Treated vs Untreated","cel00270","Cysteine and methionine metabolism"
"C31C9.2",2.7554155536192,7.45910709371954e-62,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C31C9.2",2.7554155536192,7.45910709371954e-62,"N2: Treated vs Untreated","cel01200","Carbon metabolism"
