"Gene","lfc_treat_N2","lfc_treat_RB","lfc_geno_unt","lfc_geno_trt","lfc_gxe","padj_treat_N2","padj_treat_RB","padj_geno_unt","padj_geno_trt","padj_gxe"
"Y74C9A.3",-0.00748634564935446,-0.256143005767659,0.0705758287251643,-0.178080831393141,-0.248656660118305,0.985565919495406,0.306668278141118,0.999661050265277,0.587974787202603,0.75261878546815
"Y74C9A.2",-0.148725521412094,-0.0251619454191497,0.133499902995665,0.25706347898861,0.123563575992945,0.628493268517447,0.936335065985488,0.999661050265277,0.395128705726872,0.885088469893228
"Y74C9A.4",-0.512326635225406,-0.540078368321534,-0.157244890756314,-0.184996623852442,-0.0277517330961278,0.0430351546795039,0.0310144709018627,0.999661050265277,0.615273626179452,0.979987038895484
"Y74C9A.5",-0.716841601962052,-1.46685390414725,0.350174328075186,-0.39983797411001,-0.750012302185196,0.140503059551919,0.00047064156205453,0.999661050265277,0.527717356141216,0.593270024838088
"Y74C9A.1",0.701657339395336,1.35450874865746,1.56418825250622,2.21703966176834,0.652851409262122,0.829999461168172,0.568671848438101,0.999661050265277,NA,0.938365251040032
"Y48G1C.12",-0.714504448605534,-0.389829720833528,-0.365383349481893,-0.040708621709886,0.324674727772007,0.0213493342779773,0.262898778439956,0.991706572068664,0.944527723254495,0.764694290611478
"Y48G1C.2",0.0350170053839761,-0.316329877540221,0.0481680383320768,-0.30317884459212,-0.351346882924197,0.951069992601967,0.369697484739125,0.999661050265277,0.492642161332443,0.747065557457131
"Y48G1C.10",-0.440599895219728,-0.883321880769954,-0.0513198003257726,-0.494041785875998,-0.442721985550226,0.476048053626964,0.0738521509736999,0.999661050265277,0.464689528105892,0.792775323088219
"Y48G1C.6",-0.0413456797222726,-0.308813669916353,0.210002527831026,-0.057465462363054,-0.26746799019408,0.945916763560509,0.428002182119001,0.999661050265277,0.924180764924179,0.832467165858443
"Y48G1C.9",0.300309384242873,0.782120372157638,0.0367812559994847,0.51859224391425,0.481810987914765,0.55000377600692,0.0375303893168563,0.999661050265277,0.304470071874126,0.704811050944864
"Y48G1C.1",-0.463833025145704,-0.315950151238143,0.0761614072065396,0.2240442811141,0.147882873907561,0.113620766683353,0.300209970243546,0.999661050265277,0.575555485755484,0.890550967207056
"Y48G1C.13",-1.20380337018592,0.421024058847498,-0.859625592507188,0.765201836526227,1.62482742903342,0.441152910427585,0.799365982644473,0.999661050265277,NA,0.701597199239361
"Y48G1C.8",-0.292609982260234,-0.0477838126463745,-0.0485703296330468,0.196255839980813,0.244826169613859,0.523537507320159,0.924537141077551,0.999661050265277,0.713370629637116,0.84983832818357
"F53G12.1",0.422728961313658,0.764022066602583,-0.157061671415808,0.184231433873117,0.341293105288925,0.0697654227983325,0.000217447116803432,0.999661050265277,0.560120038041655,0.629769912645566
"F53G12.10",0.214238864876141,0.739896365298415,0.0823440256349614,0.608001526057235,0.525657500422273,0.539732874516979,0.00301464601441572,0.999661050265277,0.0643423299862802,0.502057464377364
"F53G12.9",-0.0269349894983626,1.03831818195389,-0.250668434261694,0.814584737190559,1.06525317145225,0.974670439271568,0.0203605502914771,0.999661050265277,0.169337247275863,0.424785302268596
"F53G12.8",0.315429403201203,1.31017579347308,-0.251668490284144,0.743077899987735,0.994746390271878,0.936630505572935,0.629316025066398,0.999661050265277,NA,0.911704765334583
"F53G12.7",-0.441277135834367,1.95410913000553,-1.28171904092177,1.11366722491813,2.39538626583989,0.809831654529457,0.112118027230118,0.999661050265277,NA,0.495858590484701
"F53G12.6",-3.08444616256759,-0.0205646170828213,-0.415171358070171,2.6487101874146,3.06388154548477,NA,NA,NA,NA,NA
"F53G12.5",0.252729651264411,0.00237121145187708,0.265534765552617,0.0151763257400822,-0.250358439812534,0.601086458382566,0.996675826703279,0.999661050265277,0.983337258228068,0.848941297011594
"F53G12.4",0.580968178272924,0.293347184968724,0.387980498415053,0.100359505110854,-0.2876209933042,0.719586669893912,0.842128495307784,0.999661050265277,NA,0.952365939061347
"F53G12.3",-3.19071978746114,4.09668787127032,-5.33199314411913,1.95541451461233,7.28740765873146,0.31313486157258,0.182726413864314,0.474517233208854,NA,0.364586703507006
"F56C11.5",-0.102617589598003,0.90227399280752,-0.718831836050288,0.286059746355235,1.00489158240552,0.862608409771938,0.0120969287958481,0.381688607568208,0.589056933216123,0.327915854048346
"F56C11.3",0.42420623811972,0.577504048664937,-0.0839523799298541,0.0693454306153629,0.153297810545217,0.406077595832989,0.188066453684641,0.999661050265277,0.924105523597088,0.929825852206969
"Y48G1BL.2",-0.39310464819901,-0.636343008158732,-0.156573215853946,-0.399811575813668,-0.243238359959722,0.476471863725095,0.160091408989942,0.999661050265277,0.508145388639794,0.883469454994431
"Y48G1BL.8",-1.42361333513902,0.878100858104259,-0.880907050877124,1.42080714236615,2.30171419324328,0.294735463237483,0.516938285794458,0.999661050265277,NA,0.509412715859096
"Y48G1BM.1",-0.133212620353803,0.794331563969893,-0.168311307901051,0.759232876422644,0.927544184323695,0.849554572775035,0.0766678220159636,0.999661050265277,0.182519740610955,0.478366984434818
"Y48G1BR.1",0.440895657666018,0.354020357967372,0.171615671800504,0.0847403721018583,-0.086875299698646,0.159538351556534,0.251976176620886,0.999661050265277,0.859743871435039,0.941863800647889
"C53D5.2",0.0520450047082575,0.726538812396391,-0.0911564492830449,0.583337358405089,0.674493807688134,0.920222080878112,0.0140592088486128,0.999661050265277,0.13271663405015,0.448427610170193
"C53D5.4",0.275789303981615,0.296810395806239,-0.0439377460299137,-0.0229166542052892,0.0210210918246245,0.422733284294808,0.340176940049547,0.999661050265277,0.967266454308288,0.988292370920503
"C53D5.1",-0.246445363673,-0.430136431144165,0.156357248058188,-0.0273338194129772,-0.183691067471165,0.405836432600203,0.0838602847010277,0.999661050265277,0.952003157628311,0.838565198278745
"C53D5.5",-1.00209301103221,-0.837715384052988,-0.328665413105766,-0.164287786126544,0.164377626979222,0.00103693974637288,0.00883971728434559,0.999661050265277,0.749555011923234,0.899568130447159
"C53D5.6",0.261300685438245,0.36981588215061,0.291545810028959,0.400061006741324,0.108515196712365,0.476123670623879,0.224701621252192,0.999661050265277,0.292522383926223,0.928442515063598
"Y48G1A.5",-0.4461581605323,-0.168448809008379,-0.137991715913829,0.139717635610092,0.277709351523921,0.346291665633176,0.736798134108991,0.999661050265277,0.827870605777785,0.848941297011594
"Y48G1A.4",-0.330527320752895,-0.196268652413804,-0.0654134133329485,0.0688452550061424,0.134258668339091,0.249789826350685,0.499893051289829,0.999661050265277,0.871438202378795,0.890364588116896
"Y48G1A.3",0.00987228758666116,0.0516899287331049,-0.157166437776275,-0.115348796629832,0.0418176411464437,0.983493291841367,0.888931944773321,0.999661050265277,0.784108151254186,0.971670277048024
"Y48G1A.6",-0.220654254407296,-0.379929188163732,-0.091425634525414,-0.25070056828185,-0.159274933756437,0.730710316417471,0.44762829111083,0.999661050265277,0.707843118603565,0.931380445337977
"Y48G1A.2",0.0848200332013899,0.267447522982637,0.044138854951585,0.226766344732832,0.182627489781247,0.923182036663465,0.671038934511577,0.999661050265277,0.780946891098341,0.93242637977862
"Y48G1A.1",-1.00338692404298,-0.834730495306908,-0.00562193338381655,0.16303449535225,0.168656428736067,0.00651320904975352,0.030677321461412,0.999661050265277,0.794971131502941,0.913891699799656
"R119.7",-0.315464630525742,-0.301868374554075,0.165220470153698,0.178816726125365,0.0135962559716669,0.523462477412927,0.489209456011113,0.999661050265277,0.763742069444953,0.995831008749895
