"Gene","lfc_treat_N2","lfc_treat_RB","lfc_geno_unt","lfc_geno_trt","lfc_gxe","padj_treat_N2","padj_treat_RB","padj_geno_unt","padj_geno_trt","padj_gxe","score","group"
"F15A4.9",8.24406664802999,0.478358477738227,7.00686975123617,-0.758838419055588,-7.76570817029176,1.63250682103533e-07,0.775819671028962,0.000307094539054933,NA,0.0032215030389803,14.7725779215279,"sub-additive"
"C08E8.3",8.60305359171951,2.45294352135215,6.32281824905353,0.172708178686164,-6.15011007036737,9.97331471684801e-09,0.0393789287285911,0.00102839594170514,NA,0.0400820798820833,12.4729283194209,"sub-additive"
"C06B3.2",8.94806445760979,2.29001291371404,5.53096544268722,-1.12708610120852,-6.65805154389575,1.88832848837498e-09,0.0623078625900085,0.00889406191087527,NA,0.016014884178139,12.189016986583,"sub-additive"
"T27C10.4",10.4203685435765,4.20138716279,4.39541109508095,-1.82357028570553,-6.21898138078648,1.55612346126809e-14,1.68137134651927e-05,0.0695930718738213,0.150532083284473,0.0118883240462392,10.6143924758674,"sub-additive"
"T16G1.5",4.31552686076478,0.633006684243928,3.78884513111463,0.106324954593772,-3.68252017652085,1.64423527844373e-40,0.111159375433097,1.99102869431587e-29,0.870268512026341,2.48198743313136e-13,7.47136530763548,"sub-additive"
"C45B11.2",5.10853964978943,1.7159690642757,3.60524370824143,0.212673122727699,-3.39257058551373,6.32872942185624e-18,0.00451082072030312,9.79281785591162e-08,0.836325297117717,0.00216367356140725,6.99781429375516,"sub-additive"
"Y58A7A.4",5.46420835996745,1.9588806913893,2.87432455161858,-0.631003116959568,-3.50532766857814,3.0918942503037e-108,1.60385154890999e-14,2.47654650292176e-28,0.0915503578171183,1.59905534594218e-20,6.37965222019672,"sub-additive"
"Y58A7A.5",7.86746139557129,4.46829037760496,2.83363128809632,-0.565539729870009,-3.39917101796633,5.65245994913869e-160,8.53523659611501e-53,1.70497266642658e-19,0.217501384984702,1.5444787967724e-13,6.23280230606265,"sub-additive"
"C49G7.12",5.40458209271693,2.77701190414956,3.27537220003989,0.647802011472516,-2.62757018856738,7.85108839102519e-77,1.18300743335368e-21,1.05982526570834e-26,0.139175165505007,4.39893990143957e-08,5.90294238860727,"sub-additive"
"Y39G10AR.6",2.61698091896293,-0.190926994166115,2.89337082225933,0.0854629091302907,-2.80790791312904,2.37075601761795e-38,0.49416337286414,6.2069939200344e-45,0.829129233415556,2.85648899204793e-20,5.70127873538838,"sub-additive"
"F43C1.7",6.87544983857891,3.82556667369641,2.60352364386829,-0.446359521014212,-3.0498831648825,1.23264863185198e-79,6.56654908670231e-27,2.97424137633799e-10,0.440749423176062,4.67309022659549e-07,5.6534068087508,"sub-additive"
"Y39A3A.4",4.05099398575601,1.33153381029978,2.79561421816509,0.0761540427088569,-2.71946017545623,6.79615278068766e-35,0.000172595738823588,2.42164247471495e-15,0.909865714499592,6.22825478817263e-07,5.51507439362132,"sub-additive"
"Y58A7A.3",4.32399114193024,1.37876422599613,2.15880445760014,-0.786422458333966,-2.94522691593411,8.4944229497702e-75,5.34797268914946e-08,2.00401007505485e-17,0.0240012584010272,1.10607103779633e-15,5.10403137353425,"sub-additive"
"Y47D3A.2",3.24309430016147,0.499373060975841,2.29785086562482,-0.44587037356081,-2.74372123918563,6.91990002825585e-24,0.216065458939175,8.37277011575551e-11,0.385530085018777,2.11657573465084e-07,5.04157210481044,"sub-additive"
"Y49C4A.8",3.88644080208149,1.20890937153553,2.29823401479164,-0.379297415754325,-2.67753143054596,1.26285244873487e-37,0.000343333713907448,4.72200947263968e-12,0.450368180366325,9.78068494260787e-08,4.9757654453376,"sub-additive"
"C10C5.2",5.76479563959039,3.19821841025186,2.08172257685793,-0.484854652480591,-2.56657722933852,1.58224534451804e-138,3.34103411006458e-44,1.03105460384073e-16,0.172274580359196,1.51644974118466e-12,4.64829980619646,"sub-additive"
"C31A11.7",3.0728365430631,1.02507426465877,2.45065722527439,0.402894946870063,-2.04776227840433,3.72848432981977e-21,0.00472388485473514,3.47342149619683e-12,0.440759098894053,0.00088888730126202,4.49841950367872,"sub-additive"
"Y17D7B.3",5.48508396070026,3.111277674032,1.92845058948972,-0.445355697178547,-2.37380628666826,1.89630474124413e-38,1.09513931267115e-13,0.000742949953818611,0.504947143115027,0.0065482157381591,4.30225687615798,"sub-additive"
"F15B9.6",1.07746659831695,-0.730376195077789,2.48030280656396,0.672460013169222,-1.80784279339474,0.000720044579217913,0.0303703656887349,2.57068697596241e-16,0.121653417125654,0.00101771270330569,4.2881455999587,"sub-additive"
"C29F9.4",0.977852371688434,-0.966332306434887,1.84026440752637,-0.10392027059695,-1.94418467812332,3.83426394191238e-05,6.02599344749678e-05,3.42773809507136e-15,0.805048704430128,8.52675619037367e-08,3.78444908564969,"sub-additive"
"E03H4.8",3.4967535203149,1.72632779314394,1.94893995194503,0.17851422477407,-1.77042572717096,3.13178546314334e-75,1.19563177469397e-18,5.06750009707207e-22,0.587855699621896,2.4007655753423e-08,3.719365679116,"sub-additive"
"C25D7.5",5.12123818235169,2.94384156532175,1.51627532910784,-0.661121287922094,-2.17739661702993,1.20707633396439e-114,1.8282828113483e-39,7.8002843397725e-09,0.0436669289877079,3.14931494867388e-09,3.69367194613777,"sub-additive"
"K11H12.4",4.70478138064323,2.53902431200501,1.48601987214255,-0.67973719649567,-2.16575706863822,2.6825916369843e-47,3.43375355085915e-14,0.0006649927885113,0.175291358329116,0.000430815652786735,3.65177694078077,"sub-additive"
"K09D9.1",5.0677324633542,3.02368623266556,1.59579896251869,-0.448247268169955,-2.04404623068864,6.19501042427834e-63,6.69757064916497e-23,2.87122296247804e-05,0.360172003693357,0.00033032066550968,3.63984519320733,"sub-additive"
"C07G3.2",5.72684161348936,3.80225361558928,1.55499677455754,-0.369591223342535,-1.92458799790008,3.63172392091135e-115,4.71296476856228e-52,1.85521230376207e-07,0.362993654186106,1.28603238518663e-05,3.47958477245762,"sub-additive"
"T21E8.1",3.73862876026761,1.8468916201225,1.44637144906601,-0.445365691079093,-1.89173714014511,3.73995960107973e-25,1.56158574718446e-06,0.00417545099073877,0.452406876096414,0.0194832097297243,3.33810858921112,"sub-additive"
"F08F3.7",3.5278943960963,1.75752371124649,1.56284718284088,-0.207523502008926,-1.77037068484981,1.01077768728088e-47,4.53781045673737e-12,2.18329704213004e-08,0.627860223857253,4.90424664204334e-05,3.33321786769069,"sub-additive"
"C49G7.10",5.62762441061067,3.76595824547339,1.44453826391053,-0.417127901226744,-1.86166616513728,6.10986748690389e-148,5.75141336241709e-67,1.05924690709364e-08,0.22340211451212,4.67309022659549e-07,3.30620442904781,"sub-additive"
"C49G7.5",6.24239190650026,4.00221817144983,1.01585753184492,-1.2243162032055,-2.24017373505043,3.81073262807107e-202,2.53698241243556e-85,0.000220969719462698,3.64690479237558e-07,7.8849832947862e-12,3.25603126689535,"sub-additive"
"C06B3.7",6.05860448963271,3.77278899331306,0.855570031543572,-1.43024546477608,-2.28581549631965,4.01835546781129e-63,1.00327994898073e-24,0.400413973303359,0.00460006865744196,0.00125119705064017,3.14138552786322,"sub-additive"
"Y57G11C.6",-6.7338293147931,2.6478164455946,-3.2902275456543,6.0914182147334,9.3816457603877,0.00142082249558941,0.211483654809035,0.623050478490901,NA,0.0193644153748605,9.3816457603877,"supra-additive"
"F22B5.4",2.53280761025318,5.10965708929152,-2.11755237110319,0.459297107935157,2.57684947903835,4.65798285598842e-06,8.55147707588863e-22,0.00427621697184445,0.607406816790473,0.0428684685139354,2.57684947903835,"supra-additive"
"C45G7.3",-2.66550095107337,-0.39478449999864,-1.96501112232771,0.305705328747018,2.27071645107473,4.59653245265159e-08,0.550950971724034,0.00173536118576057,0.722473485221865,0.0495152180659278,2.27071645107473,"supra-additive"
"T08G5.10",-0.133680503089246,1.86104413343325,-0.324733694760926,1.66999094176157,1.99472463652249,0.766580458707623,2.47153049480045e-13,0.999661050265277,2.72960431057775e-09,1.60282868014964e-06,1.99472463652249,"supra-additive"
"F49E11.10",-1.9968743925659,-0.102496967351615,-1.28222188883015,0.61215553638414,1.89437742521429,7.54270919160999e-08,0.856570063385385,0.0175281179625436,0.274622829650352,0.016014884178139,1.89437742521429,"supra-additive"
"K10H10.2",1.80487299598195,3.61733926474592,-1.05354389978443,0.758922368979534,1.81246626876396,2.28862598027587e-06,1.90039390494924e-23,0.134684469446327,0.171716666747974,0.0340364703097807,1.81246626876396,"supra-additive"
"R08E5.2",2.62151586934551,4.40673582405439,-0.708635067548437,1.07658488716045,1.78521995470888,1.09614009950395e-15,5.17364636985188e-43,0.496349291475912,0.0202508126868196,0.0100297384675452,1.78521995470888,"supra-additive"
"T26H5.9",-0.199542722945546,1.51296482196628,-1.03529248151014,0.67721506340168,1.71250754491182,0.73477350902629,2.33028052757652e-05,0.0795833684595954,0.182361173460725,0.022892052669429,1.71250754491182,"supra-additive"
