"gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CELE_Y74C9A.6",3.78383479524858,0.0882185825282408,0.827294973738392,0.629885521879153,NA
"CELE_Y74C9A.3",721.995971384351,-0.325308541454466,0.179424314840606,0.04311579294058,0.132041604841681
"CELE_Y74C9A.2",5072.17811259585,-0.258447725026471,0.152368561567204,0.0657730374199675,0.179502553736509
"CELE_Y74C9A.4",922.269632081748,-0.445393376846877,0.199944772476366,0.0112594154025412,0.0479022844037391
"CELE_Y74C9A.9",93.9172814588922,0.105675142019133,0.402101694503849,0.684750040931268,0.824262523283169
"CELE_Y74C9A.5",778.875550139286,-1.26658375993394,0.427581319025468,9.40487442188722e-05,0.000804123273136716
"CELE_Y74C9A.8",94.3616763024993,-0.573686836123076,0.564863752806991,0.070335474487081,0.188592716540758
"CELE_Y74C9A.1",12.8251171602902,-0.0545985059671551,0.641861878138829,0.822830946581449,0.907789197228837
"CELE_Y48G1C.12",289.107543847188,-0.371165716232714,0.260324976938096,0.0815488750047305,0.209619527759108
"CELE_Y48G1C.4",420.746921898797,-0.405287464618535,0.250590852732577,0.0511769234207765,0.150318014765401
"CELE_Y48G1C.5",13.1884780335497,0.0963291744513694,0.594754811123443,0.706492344158513,0.838450560630856
"CELE_Y48G1C.2",1137.96880398961,-0.292599996315055,0.228901713908644,0.1318598951134,0.292937666266316
"CELE_Y48G1C.10",509.921116352954,-0.531220319259434,0.363658049642919,0.0450418816810524,0.136562916672646
"CELE_Y48G1C.6",313.930536614623,-0.231239923835616,0.276737007385547,0.294917374105347,0.497436484655628
"CELE_Y48G1C.9",598.180990389701,0.262933760321962,0.274588376494862,0.231801839548144,0.42806981791568
"CELE_Y48G1C.1",343.746516517572,-0.264590843025921,0.211251733266965,0.148064044136544,0.317772571500276
"CELE_Y48G1C.13",12.0378463543205,0.0595214948701044,0.570689519680932,0.816639575368443,0.904242996021425
"CELE_Y48G1C.8",1671.795396513,0.331533824919532,0.168863666826825,0.0302560668501919,0.101720995572556
"CELE_F53G12.1",15315.1610484026,0.528938842950959,0.127188238373067,1.05470951208093e-05,0.000114613828972642
"CELE_F53G12.16",8.22073502991555,0.854371201544021,1.26124283917862,0.0228673745596772,0.0825174594936933
"CELE_F53G12.15",6.5031825636933,0.629094332835422,1.11265884142323,0.0483248579258603,0.143667652382105
"CELE_F53G12.10",171361.919735035,0.347120562778611,0.180723618793574,0.0319008260771746,0.105920408050662
"CELE_F53G12.17",5.39362068605996,0.181106438127346,0.818759628888205,0.400104842255524,0.599720291020981
"CELE_F53G12.12",5.04272158009725,-0.0694148369084568,0.777462073000656,0.732185131203207,0.853632400637618
"CELE_F53G12.9",477.608164110551,0.345963893969576,0.328975798024724,0.159466834188202,0.334761103992637
"CELE_F53G12.8",17.5881588062977,-0.388311957019554,0.912326883475279,0.14428281352738,0.312261648059257
"CELE_F53G12.14",0.529254832237484,-0.0129292331841332,0.891569200825528,0.922251113764555,NA
"CELE_F53G12.7",20.1753677876447,0.511532064835247,0.723922301788459,0.108158565352441,0.255477039629018
"CELE_F53G12.6",2.72664176178629,0.0545000407165398,0.777819111997139,0.785787402207614,NA
"CELE_F53G12.5",1023.25638518287,0.110067735456598,0.224674830548218,0.565745266404221,0.741257923480476
"CELE_F53G12.4",25.9749450855432,0.0237360020253532,0.534094431586096,0.927231051735254,0.965994430096094
"CELE_F53G12.3",9.57826622525515,0.668971065540047,1.19577873063502,0.0365497943514282,0.11695934192457
"CELE_F53G12.18",29.4292475320166,-0.0564296331450463,0.458194149455846,0.830713275300313,0.913114354815152
"CELE_F56C11.1",1199.15259716212,-0.657741843143793,0.283175997985921,0.00442308678376078,0.0224093387830243
"CELE_F56C11.2",937.87361409971,-0.769288309997835,0.210593181034838,4.22165134109338e-05,0.000395443660504439
"CELE_F56C11.6",1826.06394487479,0.713545882254696,0.176336755144769,1.00199903387625e-05,0.000109592904956665
"CELE_F56C11.7",0.77464647379583,0.00649166971863568,0.89117841030267,0.960889593015471,NA
"CELE_F56C11.5",307.710167607886,0.479477546859921,0.290789252037911,0.0379252289771322,0.120177982255904
"CELE_F56C11.3",319.179365501256,0.230828365846775,0.305577509700715,0.324365368373445,0.527641926709674
"CELE_Y48G1BL.2",747.988579422136,-0.0224078486763903,0.250767673072656,0.913720214025391,0.959390690550972
"CELE_Y48G1BL.7",47.5561622496693,-0.269058023818187,0.446816738344023,0.326122135897839,0.529430555849921
"CELE_Y48G1BL.3",102.746832684381,0.3112544659679,0.453875471805985,0.262569376447091,0.46274949175418
"CELE_Y48G1BL.1",74.942379678955,0.217378914649079,0.430362892396941,0.418603361253809,0.61662291916923
