"gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CELE_Y74C9A.6",2.6944433065179,0.214536857745144,3.1190315014068,0.0687831647895766,0.945162218898139,1
"CELE_Y74C9A.3",838.775497704669,0.0682158403665734,0.135196997888936,0.504566236171995,0.613863529325653,1
"CELE_Y74C9A.2",5840.69375898177,0.0113864210515841,0.141599489233014,0.0804128681060899,0.935908892779356,1
"CELE_Y74C9A.4",1169.22690897223,-0.396654022409053,0.164285693235312,-2.41441609794294,0.015760452325936,0.695281955973188
"CELE_Y74C9A.9",124.65297824826,0.245197272487746,0.45294979826976,0.541334323195164,0.588277166826803,1
"CELE_Y74C9A.5",1170.18135051255,-0.091652265403933,0.174882500578564,-0.524079110835673,0.60022351694619,1
"CELE_Y74C9A.8",128.7928770525,0.0377312308760286,0.439961119535917,0.0857603756346209,0.931656906045258,1
"CELE_Y74C9A.1",7.68985377871416,-4.74470427483294,1.94615345703173,-2.43799082630902,0.0147691488072275,0.680586274282091
"CELE_Y48G1C.12",387.00886991509,-0.188642602317317,0.227538990941481,-0.829056161042009,0.407072628783823,1
"CELE_Y48G1C.4",522.532923051891,-0.0387473453305094,0.192594830621464,-0.201185801329556,0.840553293408509,1
"CELE_Y48G1C.5",16.2272100303383,-1.48346368129115,1.14904091028022,-1.29104513861859,0.196688025850832,1
"CELE_Y48G1C.2",1325.83415108368,-0.0325529149280783,0.189979235983778,-0.171349857048893,0.863948679848904,1
"CELE_Y48G1C.10",699.332861200346,-0.0425599865749485,0.237523148164784,-0.179182479281649,0.857794420591146,1
"CELE_Y48G1C.6",363.577766493821,0.170603811130376,0.236774545172779,0.720532737190488,0.47119705084186,1
"CELE_Y48G1C.9",557.807122302209,0.00598991909882977,0.193624965184444,0.0309356755371079,0.975320838565852,1
"CELE_Y48G1C.1",462.779214281755,0.0268667642039211,0.198409065344504,0.135410971052515,0.892286950379931,1
"CELE_Y48G1C.13",14.2975488883435,-0.355410792795969,1.04447626641086,-0.340276561780832,0.733648266146233,1
"CELE_Y48G1C.8",2127.44433091649,0.0813529667160172,0.246680355414574,0.329791022796665,0.741557871019975,1
"CELE_F53G12.1",14032.5435234639,-0.0552024973422652,0.122583776975653,-0.450324657178977,0.652476362346128,1
"CELE_F53G12.16",0.783222309296725,-3.45184325240418,3.70650776412611,-0.931292599954402,0.351702228813284,NA
"CELE_F53G12.15",0.783222309296725,-3.45184325240418,3.70650776412611,-0.931292599954402,0.351702228813284,NA
"CELE_F53G12.10",169166.104413304,0.100556897553314,0.0917010846731747,1.09657260774724,0.272828267254127,1
"CELE_F53G12.17",8.00724663311635,0.676892781622513,1.97080542975009,0.343459973980459,0.731252447568855,1
"CELE_F53G12.12",8.00724663311635,0.676892781622513,1.97080542975009,0.343459973980459,0.731252447568855,1
"CELE_F53G12.9",468.264126340706,-0.209335350175019,0.231355629012988,-0.904820648056361,0.365560410987526,1
"CELE_F53G12.8",13.6751150655715,0.689241302245571,1.59093010914157,0.433231666359919,0.664846475864891,1
"CELE_F53G12.7",21.718704196093,0.667838833285036,0.801603814663032,0.833128312351874,0.404772367500612,1
"CELE_F53G12.6",4.03576929337135,-2.4431774788895,2.16731105489436,-1.12728510906275,0.259621956218337,1
"CELE_F53G12.5",1123.6487895119,0.052257794342982,0.187006564398513,0.279443636168943,0.779904387448443,1
"CELE_F53G12.4",23.6082177604027,-0.717224492564732,0.825560943438845,-0.868772315678064,0.384971678271673,1
"CELE_F53G12.3",16.9463208552354,0.948221825303054,1.50892585654994,0.628408494152988,0.529736374070349,1
"CELE_F53G12.18",42.1354810762165,0.729692549141688,0.600537976449125,1.21506478816915,0.224341382079175,1
"CELE_F56C11.1",1615.1794138056,0.0794793321535919,0.199909591490208,0.397576382209179,0.690942472714123,1
