"gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CELE_Y74C9A.6",3.78383479524858,-0.136796164329153,0.702944379729175,0.130187861909028,NA
"CELE_Y74C9A.3",721.995971384351,-0.149576548682743,0.182662070616417,0.405979686937892,0.637294894483204
"CELE_Y74C9A.2",5072.17811259585,-0.381241670714969,0.157498842121838,0.0154617045982385,0.0606551900902316
"CELE_Y74C9A.4",922.269632081748,-0.465576489394293,0.202175802751114,0.0183787608264486,0.0698506011471672
"CELE_Y74C9A.9",93.9172814588922,-0.0982874692166186,0.460472431124758,0.778305376163806,0.892740791776327
"CELE_Y74C9A.5",778.875550139286,-0.569094885835624,0.380230228134794,0.0743208279515544,0.20679025383487
"CELE_Y74C9A.8",94.3616763024993,-0.248248564244303,0.526868271345568,0.469966864446454,0.69189877349733
"CELE_Y74C9A.1",12.8251171602902,0.134456106813176,0.654884606199804,0.464954966653889,0.688239046668857
"CELE_Y48G1C.12",289.107543847188,-0.71663594153409,0.281330061161606,0.00523505450198685,0.0247121247930732
"CELE_Y48G1C.4",420.746921898797,-0.15617806812601,0.252596949917491,0.50370494574697,0.718835803342822
"CELE_Y48G1C.5",13.1884780335497,-0.289046303155175,0.68287430926752,0.310282832914642,0.542453324046281
"CELE_Y48G1C.2",1137.96880398961,0.0267764289857776,0.237121847896371,0.906198102353181,0.958335527420076
"CELE_Y48G1C.10",509.921116352954,-0.286757922452914,0.361453014192656,0.349170326366362,0.58182811994479
"CELE_Y48G1C.6",313.930536614623,-0.0198021641433826,0.29688993936932,0.938758578516526,0.973000523104541
"CELE_Y48G1C.9",598.180990389701,0.0100491766874592,0.291920069971947,0.972545669283845,0.988389345647035
"CELE_Y48G1C.1",343.746516517572,-0.45917285155592,0.22478558959333,0.0308156336591624,0.105767209857474
"CELE_Y48G1C.13",12.0378463543205,-0.39565977349818,0.725660038893647,0.180573211698133,0.387543202402757
"CELE_Y48G1C.8",1671.795396513,0.000481858341040689,0.170831981468377,0.917078382259537,0.963571978365924
"CELE_F53G12.1",15315.1610484026,0.270271668744173,0.12614809515757,0.0292402779848024,0.101739693991065
"CELE_F53G12.16",8.22073502991555,0.302996945627084,0.757419556466093,0.0651934414148512,0.187339480144812
"CELE_F53G12.15",6.5031825636933,0.22895380517396,0.718713701209379,0.128955347989188,0.309043522880929
"CELE_F53G12.10",171361.919735035,-0.00674980958625178,0.183733083004036,0.966395887601411,0.985490836340962
"CELE_F53G12.17",5.39362068605996,-0.0810609833821355,0.683261735378642,0.298608263212615,0.530797577275199
"CELE_F53G12.12",5.04272158009725,-0.143944924788635,0.699015942623816,0.207742972077069,0.42320635367168
"CELE_F53G12.9",477.608164110551,-0.311808510136829,0.354616725414753,0.301159648499882,0.533394918745116
"CELE_F53G12.8",17.5881588062977,-0.113545853400706,0.665332754887166,0.499207613045231,0.714950811973567
"CELE_F53G12.14",0.529254832237484,-0.015315158655343,0.683865433082364,0.752653852393121,NA
"CELE_F53G12.7",20.1753677876447,-0.185767591575741,0.608121009757117,0.54978970127318,0.752993205107309
"CELE_F53G12.6",2.72664176178629,-0.06983812895217,0.682280267689539,0.356330078063861,NA
"CELE_F53G12.5",1023.25638518287,0.264449519807385,0.246414289560532,0.249650615794443,0.474412985583532
"CELE_F53G12.4",25.9749450855432,0.188567349630554,0.60875758016519,0.546749786792132,0.751162690915366
"CELE_F53G12.3",9.57826622525515,-0.162503759940816,0.700292635167598,0.35052810657025,0.583153879728256
"CELE_F53G12.18",29.4292475320166,-0.266727745007617,0.550073910504106,0.449312346231868,0.675116304515777
"CELE_F56C11.1",1199.15259716212,-0.48892963867265,0.280742033400098,0.0543960628636569,0.163515266008792
