"Gene","lfc_treat_N2","lfc_treat_RB","lfc_geno_unt","lfc_geno_trt","lfc_gxe","padj_treat_N2","padj_treat_RB","padj_geno_unt","padj_geno_trt","padj_gxe","sig_treat","sig_geno","sig_inter","category","mean_geno_lfc","mean_treat_lfc","ENTREZ"
"W04C9.1",-0.612276362727755,-0.20986915059698,-0.359303857877676,0.0431033542530985,0.402407212130775,0.0150508849015058,0.477748196815171,0.857184579491044,0.924041228857343,0.61683705543929,TRUE,FALSE,FALSE,"Treatment only",-0.158100251812289,-0.411072756662367,171639
"Y47G6A.14",0.685015022836871,0.149992734670396,0.433927042367397,-0.101095245799078,-0.535022288166475,0.00596531409021724,0.640377877273138,0.632766393827892,0.8120323530999,0.493030753004277,TRUE,FALSE,FALSE,"Treatment only",0.166415898284159,0.417503878753633,189994
"Y47G6A.10",-0.245482643116463,-0.489833621121937,0.0408724096900909,-0.203478568315383,-0.244350978005474,0.306720777762777,0.0142635318977131,0.999661050265277,0.47753099607088,0.724195898592285,TRUE,FALSE,FALSE,"Treatment only",-0.081303079312646,-0.3676581321192,171915
"D1037.3",0.989251551480014,1.43208857247254,-0.626212999354335,-0.183375978361805,0.44283702099253,2.85126259004496e-08,1.88335943816849e-16,0.0147462090813641,0.51981030343748,0.464712934343767,TRUE,TRUE,FALSE,"Interaction",-0.40479448885807,1.21067006197628,171934
"E01A2.6",1.12667305346935,0.852816078290024,0.129722190427426,-0.144134784751898,-0.273856975179324,1.168782721303e-22,8.5571416897168e-13,0.999661050265277,0.447191074724738,0.504048512529082,TRUE,FALSE,FALSE,"Treatment only",-0.00720629716223579,0.989744565879686,171997
"R12E2.13",0.370397352087789,0.856400006076052,-0.0316606139452663,0.454342040042998,0.486002653988264,0.24563960831121,0.00101601164938409,0.999661050265277,0.209111457428028,0.580985817364468,TRUE,FALSE,FALSE,"Treatment only",0.211340713048866,0.613398679081921,172010
"F55A12.7",0.637682656870321,0.567432110155772,0.0382068700590037,-0.0320436766555456,-0.0702505467145493,8.68031769328111e-05,0.000721603360127509,0.999661050265277,0.918784912800639,0.926861023915789,TRUE,FALSE,FALSE,"Treatment only",0.00308159670172903,0.602557383513046,172180
"F33D11.8",1.53815648260246,2.08652381019241,-0.0609809696962538,0.487386357893697,0.548367327589951,7.49515395272425e-05,3.47718586571921e-08,0.999661050265277,0.402246904003828,0.703385149831053,TRUE,FALSE,FALSE,"Treatment only",0.213202694098722,1.81234014639744,185230
"C48E7.11",-0.657527218977027,-0.0947694406560823,-0.185868685035257,0.376889093285687,0.562757778320945,0.0208348436953879,0.804089630357014,0.999661050265277,0.342487647423915,0.515239171721729,TRUE,FALSE,FALSE,"Treatment only",0.0955102041252148,-0.376148329816555,172319
"C55B7.4",0.0375279397059706,0.0313199563386987,-0.760918496753736,-0.767126480121008,-0.00620798336727188,0.936888336830217,0.934544828178299,0.0366614017535751,0.017363558824134,0.998105234629645,FALSE,TRUE,FALSE,"Genotype only",-0.764022488437372,0.0344239480223346,172358
"D2005.5",-0.558290821564833,-0.973356460100833,-0.216718635837233,-0.631784274373232,-0.415065638535999,0.103488114860517,0.0014881625221188,0.999661050265277,0.127115236168601,0.703385149831053,TRUE,FALSE,FALSE,"Treatment only",-0.424251455105233,-0.765823640832833,172546
"R05D11.1",1.89833815239859,1.30356561604074,-0.0556045553350909,-0.650377091692939,-0.594772536357848,1.35290904731874e-06,0.00187278594808542,0.999661050265277,0.267012755312247,0.686737692869295,TRUE,FALSE,FALSE,"Treatment only",-0.352990823514015,1.60095188421966,187612
"F25H5.4",-0.171651459854394,0.430256867881173,0.155362418265869,0.757270746001436,0.601908327735566,0.659712830020326,0.130898213080572,0.999661050265277,0.0236340229049943,0.462381986909121,FALSE,TRUE,FALSE,"Genotype only",0.456316582133652,0.12930270401339,172743
"C04F12.3",1.64974347241581,1.6262359436842,-0.12165216353859,-0.145159692270197,-0.0235075287316066,1.33641847858176e-19,1.19956936000519e-18,0.999661050265277,0.646356558779129,0.980504416179811,TRUE,FALSE,FALSE,"Treatment only",-0.133405927904393,1.63798970805001,172817
"F26E4.12",0.368227995496759,0.733095762383207,0.040685918498288,0.405553685384736,0.364867766886448,0.256674598938336,0.00699938084751476,0.999661050265277,0.280472991144425,0.701597199239361,TRUE,FALSE,FALSE,"Treatment only",0.223119801941512,0.550661878939983,184981
"F25H2.1",3.10872642696303,2.50417711558345,0.207773775970686,-0.396775535408892,-0.604549311379579,2.21325984047166e-39,2.06943488251861e-25,0.999661050265277,0.295774797069472,0.477552827577865,TRUE,FALSE,FALSE,"Treatment only",-0.0945008797191031,2.80645177127324,172936
"C47B2.6",-0.451017722766937,-0.371584771154617,-0.169173469799914,-0.089740518187594,0.0794329516123202,0.0183014989216334,0.061491667035998,0.999661050265277,0.773131496559054,0.922718850503421,TRUE,FALSE,FALSE,"Treatment only",-0.129456993993754,-0.411301246960777,173171
"C47B2.8",-0.645706598182662,-0.551574612403613,-0.244235656074679,-0.150103670295631,0.0941319857790482,0.0108974366380132,0.0384684064149834,0.999661050265277,0.715537860790711,0.932784396485274,TRUE,FALSE,FALSE,"Treatment only",-0.197169663185155,-0.598640605293137,353387
"T04D3.4",0.777254629524862,0.0726687136844002,0.433226715745657,-0.271359200094805,-0.704585915840462,0.0187073008088052,0.876334392205905,0.922021041076454,0.575555485755484,0.483086051089839,TRUE,FALSE,FALSE,"Treatment only",0.080933757825426,0.424961671604631,173202
"C37A5.3",2.00395966634294,2.38214373449825,0.0593110250813926,0.437495093236703,0.37818406815531,2.59668197038478e-05,4.29394787941245e-07,0.999661050265277,0.555236137599986,0.847533860471726,TRUE,FALSE,FALSE,"Treatment only",0.248403059159048,2.1930517004206,13182956
"C37A5.2",1.31847993579972,1.56016300185301,0.311174333051415,0.552857399104708,0.241683066053294,0.00815153913939734,0.00128160130973467,0.999661050265277,0.435100332320382,0.905829335127321,TRUE,FALSE,FALSE,"Treatment only",0.432015866078062,1.43932146882636,259409
"T07H3.3",-1.32128022922946,-3.62049906448178,-1.96584739183275,-4.26506622708507,-2.29921883525232,0.00639189801633603,6.50899588299351e-07,0.000389895870346762,NA,0.173857503056943,TRUE,TRUE,FALSE,"Interaction",-3.11545680945891,-2.47088964685562,188249
"F43C11.7",-1.22356096299735,-1.00265244081117,-0.114790086768312,0.106118435417869,0.220908522186181,5.60869035391737e-08,2.06137606993344e-05,0.999661050265277,0.798190693943597,0.811057379540473,TRUE,FALSE,FALSE,"Treatment only",-0.00433582567522125,-1.11310670190426,173591
"F43C11.3",-2.71541883007409,-1.48978521127511,-0.726988968757487,0.498644650041485,1.22563361879897,1.43031927335733e-05,0.0344127852781971,0.999661050265277,0.635263794204592,0.581169027904367,TRUE,FALSE,FALSE,"Treatment only",-0.114172159358001,-2.1026020206746,179872
"ZK430.2",-0.517387418830204,0.0397815129833502,-0.337186406519184,0.219982525294371,0.557168931813555,0.00942765328323012,0.891406613917331,0.649239896642881,0.443685342871637,0.339024496105818,TRUE,FALSE,FALSE,"Treatment only",-0.0586019406124065,-0.238802952923427,173777
"F41C3.8",1.39470543022845,0.800678183453117,0.174821606887164,-0.419205639888173,-0.594027246775337,1.27000215342519e-12,0.000193921812458758,0.999661050265277,0.161890737806911,0.370680901406163,TRUE,FALSE,FALSE,"Treatment only",-0.122192016500505,1.09769180684079,173814
"F11G11.3",0.900825608785242,1.21413208899963,0.200360568931439,0.51366704914583,0.313306480214391,0.00521929211752852,8.6073024126805e-05,0.999661050265277,0.247123411812095,0.791292415722164,TRUE,FALSE,FALSE,"Treatment only",0.357013809038635,1.05747884889244,173841
"F11G11.2",2.14617058088498,2.80780007918243,-0.0859060985397677,0.575723399757681,0.661629498297449,5.11150919959859e-14,2.12499419327621e-23,0.999661050265277,0.181262787176279,0.508850554627299,TRUE,FALSE,FALSE,"Treatment only",0.244908650608957,2.47698533003371,173842
"F08B1.1",2.64355968397857,1.59008020191406,0.435193589188818,-0.61828589287569,-1.05347948206451,9.08116914989147e-12,0.000121446824204861,0.999661050265277,0.30394098133541,0.424509237443095,TRUE,FALSE,FALSE,"Treatment only",-0.091546151843436,2.11681994294631,173904
